age,breed,centreLocation,gender,hasPhoto,hasVideo,icon_childFriendly,icon_crossBreed,icon_dogFriendly,icon_gentleGiant,icon_hasBasicHousetraining,icon_hasMedicalNeeds,icon_livewire,icon_livingOffsite,icon_lovesCuddles,icon_lovesToysGames,icon_needsTraining,icon_smallButSparky,icon_strangerFriendly,icon_veryClever,icon_willWorkForFood,icon_youngAtHeart,isNewDog,name,numberOfPhotos,reserved
 '2 to 5 Years', 'Cocker Spaniel', 'Evesham', 'Male', true, false,,,,,Has basic housetraining,,,,,,Needs some training,Small but sparky,,Bright spark/very clever,,, true, 'Archie', 1, true
 '5 to 7 Years', 'Terrier: Cairn  ', 'Salisbury', 'Male', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,,,Especially likes cuddles,,Needs some training,Small but sparky,,,,, false, 'Archie', 3, true
 '2 to 5 Years', 'Whippet', 'Kenilworth', 'Female', true, false,Child friendly (under 12 yrs),,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Arabella', 5, true
 '8+ Years', 'Jack Russell Terrier (JRT)', 'West Calder', 'Male', true, false,,,,,Has basic housetraining,,Live wire,,,Loves toys/games,,,,,Loves treats/will work for food,, false, 'Alfie', 3, false
 '1 to 2 Years', 'Beagle  ', 'Loughborough', 'Male', true, false,,,Dog friendly,,,,,,Especially likes cuddles,,,,Stranger friendly,Bright spark/very clever,,, false, 'Bailey', 2, false
 '8+ Years', 'Lab Cross', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,Live wire,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Bailey', 5, true
 '2 to 5 Years', 'Harrier', 'Kenilworth', 'Male', true, true,,,,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Bailey', 5, true
 '2 to 5 Years', 'A Crossbreed ', 'London (Harefield)', 'Female', true, true,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Bailey', 5, false
 '8+ Years', 'Border Collie ', 'West Calder', 'Male', true, true,,,Dog friendly,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Bailey', 5, false
 '5 to 7 Years', 'Lab Cross', 'Salisbury', 'Female', true, false,,Crossbreed,,,,,Live wire,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Bella', 5, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Ballymena (N.Ireland)', 'Male', true, false,,Crossbreed,,,,,,,,,Needs some training,,,,,, false, 'Badger', 3, false
 '6 to 12 Months', 'Terrier: Yorkshire ', 'Bridgend', 'Female', true, false,,Crossbreed,,,,,,,Especially likes cuddles,,,,,,Loves treats/will work for food,, false, 'Beatrix', 2, true
 '8+ Years', 'Spaniel: English Springer', 'Kenilworth', 'Male', true, false,,,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Beau', 5, false
 '2 to 5 Years', 'Lab Cross', 'Kenilworth', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Beatrix', 4, true
 '5 to 7 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Merseyside', 'Male', true, false,,,Dog friendly,Gentle giant,Has basic housetraining,,Live wire,,,,,,Stranger friendly,,,, true, 'Bear', 2, true
 '8+ Years', 'Staffordshire Bull Terrier (SBT)', 'Ilfracombe', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,,,,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,Young at heart, true, 'Bear', 2, true
 '2 to 5 Years', 'A Crossbreed ', 'Loughborough', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Adam', 5, false
 '2 to 5 Years', 'Border Collie ', 'Darlington', 'Male', true, true,,Crossbreed,,,,,Live wire,,Especially likes cuddles,,Needs some training,,,,Loves treats/will work for food,, false, 'Adam', 5, false
 '8+ Years', 'Border Collie ', 'Newbury', 'Male', true, false,,Crossbreed,,,,,,,,Loves toys/games,,,,Bright spark/very clever,Loves treats/will work for food,Young at heart, true, 'Ace', 5, false
 '0 to 6 Months', 'Akita', 'Shrewsbury', 'Male', true, false,,Crossbreed,Dog friendly,Gentle giant,,,,,Especially likes cuddles,,,,Stranger friendly,,,, true, 'Bear', 4, false
 '2 to 5 Years', 'Lurcher ', 'Shoreham', 'Male', true, true,,Crossbreed,,,,Medical needs,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Ace', 5, false
 '6 to 12 Months', 'Staffordshire Cross (SBT)', 'Newbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,,Bright spark/very clever,,, true, 'Bailey', 5, true
 '2 to 5 Years', 'Staffordshire Bull Terrier (SBT)', 'Manchester', 'Female', true, false,,,,,,,,,,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,, true, 'Ebony', 3, false
 '2 to 5 Years', 'Collie: Smooth  ', 'Shoreham', 'Female', true, false,,,Dog friendly,,,,,,,,Needs some training,,,,,, false, 'Elizabeth', 5, false
 '2 to 5 Years', 'Lurcher ', 'Merseyside', 'Male', true, true,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,Bright spark/very clever,,, false, 'Bailey', 5, false
 '2 to 5 Years', 'Harrier', 'Salisbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Finn', 5, false
 '5 to 7 Years', 'Border Collie ', 'Kenilworth', 'Male', true, false,,Crossbreed,,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Barney', 5, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Kenilworth', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,Live wire,,,,,,,,,, true, 'Flick', 5, false
 '8+ Years', 'Jack Russell Terrier (JRT)', 'Kenilworth', 'Female', true, false,,,,,Has basic housetraining,,,,,,Needs some training,,,,,, false, 'Flossy', 5, false
 '8+ Years', 'Border Collie ', 'West Calder', 'Female', true, false,,,,,,,,,,,Needs some training,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, true, 'Floss', 3, false
 '2 to 5 Years', 'Greyhound  ', 'Ilfracombe', 'Male', true, true,,,Dog friendly,Gentle giant,Has basic housetraining,,,,,,,,Stranger friendly,,,, false, 'Frankie', 2, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Loughborough', 'Male', true, true,,Crossbreed,Dog friendly,,,,,Living off site,Especially likes cuddles,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Frankie', 5, true
 '1 to 2 Years', 'Staffordshire Cross (SBT)', 'Kenilworth', 'Female', true, false,,Crossbreed,,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Ginny', 4, false
 '5 to 7 Years', 'Lurcher ', 'London (Harefield)', 'Female', true, false,,,Dog friendly,,,,,,,,Needs some training,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, false, 'Hazel', 1, false
 '2 to 5 Years', 'Jack Russell Terrier (JRT)', 'Evesham', 'Male', true, false,,,,,,,Live wire,Living off site,,Loves toys/games,Needs some training,Small but sparky,,Bright spark/very clever,Loves treats/will work for food,, false, 'Dinky', 5, false
 '1 to 2 Years', 'Lurcher ', 'Leeds', 'Female', true, true,,,,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Hasley', 5, false
 '5 to 7 Years', 'Terrier Cross', 'Kenilworth', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,,,,Loves toys/games,Needs some training,,,,,, false, 'Harvey', 5, false
 '2 to 5 Years', 'A Crossbreed ', 'Ilfracombe', 'Male', true, true,,Crossbreed,,,,,,,,,,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, false, 'Harvey', 2, false
 '2 to 5 Years', 'Lurcher ', 'Basildon', 'Male', true, false,,Crossbreed,,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Harry', 5, true
 '2 to 5 Years', 'Jack Russell Terrier (JRT)', 'Shrewsbury', 'Female', true, false,,Crossbreed,,,Has basic housetraining,,,,Especially likes cuddles,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,, false, 'Bella', 2, true
 '8+ Years', 'Terrier: Lakeland  ', 'Newbury', 'Male', true, false,,Crossbreed,,,,,,,,Loves toys/games,,,,,Loves treats/will work for food,Young at heart, false, 'Harry', 5, true
 '8+ Years', 'Staffordshire Cross (SBT)', 'Shrewsbury', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, false, 'Harry', 3, false
 '2 to 5 Years', 'Staffordshire Cross (SBT)', 'Glasgow', 'Female', false, false,,Crossbreed,,,Has basic housetraining,,Live wire,,Especially likes cuddles,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, true, 'Envy', 0, false
 '2 to 5 Years', 'Siberian Husky  ', 'Leeds', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,,Needs some training,,Stranger friendly,,,, false, 'Harley', 5, false
 '5 to 7 Years', 'Beagle  ', 'Salisbury', 'Female', true, false,,,,,,,,,,,Needs some training,,,,,, false, 'Harley', 3, false
 '1 to 2 Years', 'Collie Cross (Border)', 'Canterbury', 'Male', false, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,,, false, 'Harkin', 0, true
 '2 to 5 Years', 'Beagle  ', 'Leeds', 'Male', true, false,,,Dog friendly,,Has basic housetraining,,Live wire,,,,,,,,,, false, 'Hardy', 5, false
 '2 to 5 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Kenilworth', 'Female', true, false,,,,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Hailey', 4, true
 '2 to 5 Years', 'Spaniel: Clumber', 'Salisbury', 'Male', true, false,,Crossbreed,,,,Medical needs,,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Harry', 1, false
 '2 to 5 Years', 'Lurcher ', 'Basildon', 'Male', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Greg', 5, false
 '2 to 5 Years', 'Siberian Husky  ', 'Merseyside', 'Male', true, true,,,,,,,Live wire,,,,Needs some training,,Stranger friendly,Bright spark/very clever,,, false, 'Harper', 5, false
 '5 to 7 Years', 'Schnauzer: Miniature  ', 'Snetterton', 'Female', true, false,,,Dog friendly,,,,,,Especially likes cuddles,,,,Stranger friendly,,Loves treats/will work for food,, true, 'Gracie', 3, true
 '5 to 7 Years', 'Lurcher ', 'Shrewsbury', 'Male', true, false,,Crossbreed,,,,,,,Especially likes cuddles,Loves toys/games,Needs some training,,,,,, false, 'Grainger', 5, false
 '1 to 2 Years', 'Terrier Cross', 'Basildon', 'Female', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,, true, 'Gracie', 5, true
 '2 to 5 Years', 'A Crossbreed ', 'Manchester', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,Living off site,,Loves toys/games,,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Georgie', 5, false
 '5 to 7 Years', 'Staffordshire Bull Terrier (SBT)', 'Manchester', 'Female', true, false,,,Dog friendly,,,,,,,Loves toys/games,,,,,Loves treats/will work for food,, true, 'Georgie', 3, false
 '1 to 2 Years', 'Collie Cross (Border)', 'Ballymena (N.Ireland)', 'Male', true, true,,Crossbreed,,,Has basic housetraining,Medical needs,,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Hank', 1, false
 '1 to 2 Years', 'Rough Collie  ', 'Salisbury', 'Male', true, false,,,Dog friendly,,,,,,,,,,,,,, true, 'George', 1, true
 '8+ Years', 'Border Collie ', 'Glasgow', 'Female', true, false,,,Dog friendly,,Has basic housetraining,,,,,Loves toys/games,,,,,,, false, 'Gem', 1, false
 '2 to 5 Years', 'Lurcher ', 'Manchester', 'Female', true, false,,Crossbreed,,,,,,,,Loves toys/games,,,,,Loves treats/will work for food,, true, 'Holly', 2, false
 '8+ Years', 'Harrier', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Hagrid', 4, false
 '8+ Years', 'Chihuahua: Short Hr', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Hoggy', 4, true
 '2 to 5 Years', 'Leonberger', 'Shrewsbury', 'Male', true, false,,Crossbreed,,Gentle giant,,Medical needs,,,Especially likes cuddles,,,,,,Loves treats/will work for food,, false, 'Hagrid', 5, false
 '5 to 7 Years', 'Terrier Cross', 'Newbury', 'Male', false, false,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,Small but sparky,,,Loves treats/will work for food,, true, 'Herb', 0, false
 '2 to 5 Years', 'Lurcher ', 'Shoreham', 'Male', true, true,,Crossbreed,,,,,Live wire,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Harley', 5, false
 '5 to 7 Years', 'Boxer  ', 'Ilfracombe', 'Male', true, true,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,Living off site,,Loves toys/games,,,,,,, true, 'Harley', 3, false
 '2 to 5 Years', 'Shih Tzu  ', 'Manchester', 'Male', true, false,,,,,,,,,,,Needs some training,Small but sparky,,,Loves treats/will work for food,, true, 'Henry', 2, false
 '8+ Years', 'Cocker Spaniel', 'Canterbury', 'Male', true, false,,,Dog friendly,,,,,,,,,,Stranger friendly,,,, true, 'Henry', 3, true
 '5 to 7 Years', 'Siberian Husky  ', 'Evesham', 'Female', true, false,,,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Heidi', 2, true
 '5 to 7 Years', 'Lurcher ', 'Darlington', 'Male', true, true,,,,,Has basic housetraining,Medical needs,Live wire,Living off site,Especially likes cuddles,Loves toys/games,,,Stranger friendly,,,, false, 'Hector', 5, false
 '2 to 5 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Ilfracombe', 'Male', true, true,,Crossbreed,Dog friendly,,,,Live wire,,Especially likes cuddles,Loves toys/games,,,,,,, false, 'Fudge', 4, true
 '2 to 5 Years', 'Collie Cross (Border)', 'Snetterton', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Gordon', 3, true
 '5 to 7 Years', 'Border Collie ', 'Merseyside', 'Male', true, false,,,Dog friendly,,Has basic housetraining,,Live wire,Living off site,,Loves toys/games,,,,,,, false, 'Fudge', 3, false
 '8+ Years', 'Jack Russell Terrier (JRT)', 'London (Harefield)', 'Female', true, true,,Crossbreed,,,,,Live wire,,,,Needs some training,Small but sparky,,,Loves treats/will work for food,Young at heart, false, 'Freya', 3, false
 '5 to 7 Years', 'Collie Cross (Border)', 'West Calder', 'Female', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Holly', 5, false
 '2 to 5 Years', 'Staffordshire Cross (SBT)', 'Shrewsbury', 'Male', true, false,,Crossbreed,,,,,Live wire,,Especially likes cuddles,,Needs some training,,Stranger friendly,,,, false, 'Freddie', 5, false
 '2 to 5 Years', 'Lurcher ', 'Kenilworth', 'Male', false, false,Child friendly (under 12 yrs),Crossbreed,,,,,,,,,Needs some training,,,,,, true, 'Barney', 0, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Snetterton', 'Female', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Freda', 1, true
 '5 to 7 Years', 'Boxer  ', 'Kenilworth', 'Male', true, false,,Crossbreed,Dog friendly,Gentle giant,Has basic housetraining,,,Living off site,Especially likes cuddles,Loves toys/games,,,,,Loves treats/will work for food,, false, 'Henry', 5, false
 '2 to 5 Years', 'Lurcher ', 'Canterbury', 'Male', true, false,,Crossbreed,,,,,,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Frankie', 5, false
 '2 to 5 Years', 'Lab Cross', 'Glasgow', 'Male', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Gordon', 5, false
 '5 to 7 Years', 'Lurcher ', 'Snetterton', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Henry', 1, false
 '2 to 5 Years', 'Border Collie ', 'Merseyside', 'Male', true, false,,,Dog friendly,,,,Live wire,,,,Needs some training,,,Bright spark/very clever,,, false, 'Glenn', 3, true
 '2 to 5 Years', 'Collie Cross (Border)', 'Newbury', 'Male', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Glen', 5, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Basildon', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Glen', 5, false
 '5 to 7 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Snetterton', 'Male', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Gizmo', 5, false
 '5 to 7 Years', 'Pug ', 'Leeds', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,Has basic housetraining,,,,,,,Small but sparky,Stranger friendly,,,, true, 'Ginnie', 3, false
 '6 to 12 Months', 'Terrier: Welsh  ', 'Ilfracombe', 'Male', true, false,,,,,,,Live wire,,,Loves toys/games,,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Gigsy', 2, false
 '5 to 7 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Evesham', 'Male', true, false,,,,Gentle giant,,,,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Ghost', 3, false
 '2 to 5 Years', 'Greyhound  ', 'Kenilworth', 'Male', true, false,,,,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Gerry', 4, false
 '8+ Years', 'Terrier Cross', 'Kenilworth', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,,Needs some training,,,Bright spark/very clever,,, false, 'Frankie', 5, false
 '2 to 5 Years', 'Boxer  ', 'Glasgow', 'Male', true, true,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Frankie', 3, false
 '2 to 5 Years', 'A Crossbreed ', 'Kenilworth', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Frankie', 5, true
 '2 to 5 Years', 'Beagle  ', 'Glasgow', 'Male', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Frank', 5, true
 '1 to 2 Years', 'Staffordshire Cross (SBT)', 'London (Harefield)', 'Male', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,,,, true, 'Frank', 2, true
 '0 to 6 Months', 'Bulldog: English', 'Basildon', 'Male', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,,,, false, 'Frank', 3, false
 '5 to 7 Years', 'Parson Russell Terrier', 'Newbury', 'Male', true, true,,,Dog friendly,,,,Live wire,,,Loves toys/games,,Small but sparky,,Bright spark/very clever,Loves treats/will work for food,, false, 'Forest Gump', 5, false
 '2 to 5 Years', 'Patterdale Terrier', 'Merseyside', 'Male', true, false,,,,,Has basic housetraining,,Live wire,,,Loves toys/games,,,Stranger friendly,Bright spark/very clever,,, false, 'Goldie', 4, false
 '2 to 5 Years', 'Lab Cross', 'Salisbury', 'Male', false, false,,Crossbreed,,,,,,,,,Needs some training,,,,,, true, 'Foley', 0, true
 '5 to 7 Years', 'Terrier Cross', 'Glasgow', 'Male', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,Stranger friendly,,Loves treats/will work for food,, false, 'Hedgehog', 5, true
 '5 to 7 Years', 'Collie Cross (Border)', 'Salisbury', 'Female', true, false,,Crossbreed,,,,,,,,,Needs some training,,,Bright spark/very clever,,, false, 'Florrie', 4, false
 '5 to 7 Years', 'Greyhound  ', 'Basildon', 'Female', true, false,Child friendly (under 12 yrs),,Dog friendly,,Has basic housetraining,,,,Especially likes cuddles,,,,Stranger friendly,,,, true, 'Florence', 5, false
 '2 to 5 Years', 'Terrier: Bedlington', 'Leeds', 'Female', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,Especially likes cuddles,,,,,,,, true, 'Florence', 2, false
 '6 to 12 Months', 'A Crossbreed ', 'Loughborough', 'Female', true, false,,Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,,,,, true, 'Fliss', 3, true
 '2 to 5 Years', 'Collie Cross (Border)', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Flinch', 3, true
 '5 to 7 Years', 'Staffordshire Bull Terrier (SBT)', 'Evesham', 'Male', true, false,,Crossbreed,,,,,Live wire,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Flash', 5, true
 '5 to 7 Years', 'Lab Cross', 'London (Harefield)', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Finn', 1, false
 '5 to 7 Years', 'Staffordshire Cross (SBT)', 'Ilfracombe', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,,,,Bright spark/very clever,,, false, 'Finn', 4, true
 '2 to 5 Years', 'Border Collie ', 'West Calder', 'Male', true, true,,,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Finn', 5, false
 '5 to 7 Years', 'Jack Russell Terrier (JRT)', 'Kenilworth', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Figg', 4, true
 '8+ Years', 'Lurcher ', 'Snetterton', 'Female', true, false,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,, false, 'Faye', 2, false
 '2 to 5 Years', 'Belgian Shepherd Dog: Laekenois (BSD)', 'Kenilworth', 'Female', true, false,,,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Fala', 5, false
 '2 to 5 Years', 'Saluki ', 'Darlington', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Fabian', 5, false
 '2 to 5 Years', 'Border Collie ', 'Basildon', 'Male', true, false,,Crossbreed,,,,,Live wire,,,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, true, 'Fonzie', 5, true
 '2 to 5 Years', 'Collie Cross (Border)', 'Loughborough', 'Male', true, false,,Crossbreed,,,,,,,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Flynn', 5, true
 '2 to 5 Years', 'Greyhound  ', 'Ilfracombe', 'Female', true, true,,,Dog friendly,Gentle giant,Has basic housetraining,,,,,,Needs some training,,,,,, false, 'Gina', 3, false
 '8+ Years', 'A Crossbreed ', 'Darlington', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,,,,,,Living off site,,,,,Stranger friendly,,,Young at heart, true, 'Evie', 3, false
 '5 to 7 Years', 'Akita', 'Merseyside', 'Male', true, false,,Crossbreed,,Gentle giant,Has basic housetraining,,,,,,,,,,,, false, 'Enzo', 4, false
 '2 to 5 Years', 'A Crossbreed ', 'London (Harefield)', 'Male', true, false,,Crossbreed,,,,Medical needs,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Enzo', 3, false
 '2 to 5 Years', 'Greyhound  ', 'Evesham', 'Female', true, false,,,,,,,,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Freya', 3, false
 '2 to 5 Years', 'Lurcher ', 'London (Harefield)', 'Female', false, false,,,Dog friendly,,,,Live wire,,Especially likes cuddles,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, true, 'Emma', 0, false
 '2 to 5 Years', 'Terrier Cross', 'Newbury', 'Female', true, false,,Crossbreed,,,,,,,,Loves toys/games,Needs some training,Small but sparky,,,Loves treats/will work for food,, false, 'Emma', 4, false
 '2 to 5 Years', 'Patterdale Terrier', 'Merseyside', 'Female', true, false,,,,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,Bright spark/very clever,,, false, 'Ember', 5, false
 '1 to 2 Years', 'Lurcher ', 'Shoreham', 'Female', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, false, 'Faye', 3, false
 '2 to 5 Years', 'Foxhound  ', 'Canterbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Elvis', 3, false
 '6 to 12 Months', 'German Shepherd Dog (GSD / Alsatian)', 'Salisbury', 'Female', false, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,,,,,Needs some training,,Stranger friendly,,,, true, 'Ella', 0, false
 '8+ Years', 'Staffordshire Cross (SBT)', 'Ballymena (N.Ireland)', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,Young at heart, false, 'Eric', 5, false
 '8+ Years', 'Staffordshire Cross (SBT)', 'Glasgow', 'Female', true, false,,Crossbreed,,,,Medical needs,,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,,,Young at heart, false, 'Eliza', 2, false
 '2 to 5 Years', 'Foxhound  ', 'Snetterton', 'Male', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Eddie', 5, false
 '2 to 5 Years', 'Lurcher ', 'Kenilworth', 'Female', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Ebberdy', 5, true
 '8+ Years', 'A Crossbreed ', 'Shoreham', 'Male', true, true,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,,,,,,, false, 'Herbie', 5, false
 '2 to 5 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Loughborough', 'Female', true, true,,Crossbreed,,,,,Live wire,,,,Needs some training,,,Bright spark/very clever,,, false, 'Elsa', 4, false
 '2 to 5 Years', 'Lurcher ', 'Kenilworth', 'Male', false, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Duncan', 0, false
